Date,Symbol,Name,1W Chikou Direction,1W Chikou Count,1W Chikou State
2026-08-24,GRI.L,Grainger,-1,-119,below chikou
2026-08-24,DATA.L,GlobalData,0,-98,below chikou
2026-08-24,BREE.L,Breedon Group,0,-66,below chikou
2026-08-24,UTG.L,Unite Group,0,-58,below chikou
2026-08-24,MEGP.L,ME Group International,0,-55,below chikou
2026-08-24,PETS.L,Pets at Home,0,-53,below chikou
2026-08-24,TEP.L,Telecom Plus,-1,-44,below chikou
2026-08-24,AML.L,Aston Martin Lagonda,-1,-44,below chikou
2026-08-24,ALFA.L,Alfa Financial Software,-1,-43,below chikou
2026-08-24,PAG.L,Paragon Banking Group,-1,-43,below chikou
2026-08-24,DNLM.L,Dunelm Group,-1,-41,below chikou
2026-08-24,FGP.L,FirstGroup,-1,-40,below chikou
2026-08-31,SEIT.L,SDCL Efficiency Income Trust,-1,-36,below chikou
2026-08-31,PEY.L,Partners Group Private Equity,-1,-30,below chikou
2026-08-24,GBG.L,GB Group,-1,-30,below chikou
2026-08-24,WIZZ.L,Wizz Air,-1,-28,below chikou
2026-08-31,FCSS.L,Fidelity China Special Situations,-1,-27,below chikou
2026-08-24,POLN.L,Pollen Street Group,0,-27,below chikou
2026-08-31,TFIF.L,Twentyfour Income Fund,-1,-27,below chikou
2026-08-24,GEN.L,Genuit Group,-1,-26,below chikou
2026-08-24,VTY.L,Vistry Group,-1,-26,below chikou
2026-08-24,TW.L,Taylor Wimpey,-1,-25,below chikou
2026-08-24,IWG.L,International Workplace Group,-1,-25,below chikou
2026-08-24,WKP.L,Workspace Group,-1,-25,below chikou
2026-08-24,AO.L,AO World,-1,-24,below chikou
2026-08-24,BWY.L,Bellway,-1,-24,below chikou
2026-08-24,THG.L,THG,0,-24,below chikou
2026-08-24,BYG.L,Big Yellow Group,-1,-24,below chikou
2026-08-24,BKG.L,Berkeley Group Holdings,-1,-24,below chikou
2026-08-24,GDWN.L,Goodwin,-1,-22,below chikou
2026-08-24,ENOG.L,Energean,-1,-20,below chikou
2026-08-24,GNS.L,Genus,-1,-19,below chikou
2026-08-24,OSB.L,OSB Group,-1,-19,below chikou
2026-08-31,TRY.L,TR Property Investment Trust,-1,-19,below chikou
2026-08-24,WIX.L,Wickes,-1,-19,below chikou
2026-08-24,SAFE.L,Safestore,-1,-19,below chikou
2026-08-24,SMWH.L,WHSmith,-1,-19,below chikou
2026-08-24,SHAW.L,Shawbrook Bank,-1,-18,below chikou
2026-08-24,PRN.L,Princes Group,-1,-18,below chikou
2026-08-31,VOF.L,VinaCapital Vietnam Opportunity Fund,-1,-16,below chikou
2026-08-24,PHP.L,Primary Health Properties,-1,-16,below chikou
2026-08-24,GNC.L,Greencore,0,-14,below chikou
2026-08-24,SRP.L,Serco,-1,-13,below chikou
2026-08-24,PNN.L,Pennon Group,-1,-13,below chikou
2026-08-24,CBG.L,Close Brothers Group,-1,-12,below chikou
2026-08-24,PPH.L,PPHE Hotel Group,-1,-11,below chikou
2026-08-24,PAF.L,Pan African Resources,-1,-11,below chikou
2026-08-24,RAT.L,Rathbones,-1,-11,below chikou
2026-08-24,COA.L,Coats Group,-1,-11,below chikou
2026-08-24,ITV.L,ITV,-1,-11,below chikou
2026-08-24,CVSG.L,CVS Group,0,-11,below chikou
2026-08-31,VEIL.L,Vietnam Enterprise Investments,-1,-11,below chikou
2026-08-24,DRX.L,Drax Group,-1,-11,below chikou
2026-08-24,JMAT.L,Johnson Matthey,-1,-10,below chikou
2026-08-24,N91.L,Ninety One,-1,-10,below chikou
2026-08-24,OXB.L,Oxford Biomedica,-1,-8,below chikou
2026-08-24,EWG.L,Eurowag,-1,-8,below chikou
2026-08-24,HOC.L,Hochschild Mining,-1,-8,below chikou
2026-08-24,MGNS.L,Morgan Sindall Group,-1,-7,below chikou
2026-08-24,SRE.L,Sirius Real Estate,-1,-7,below chikou
2026-08-31,RICA.L,Ruffer Investment Company,-1,-7,below chikou
2026-08-24,JUP.L,Jupiter Fund Management,-1,-6,below chikou
2026-08-24,ASHM.L,Ashmore Group,-1,-6,below chikou
2026-08-24,LRE.L,Lancashire Holdings,-1,-5,below chikou
2026-08-24,PLUS.L,Plus500,-1,-5,below chikou
2026-08-24,VSVS.L,Vesuvius,-1,-5,below chikou
2026-08-24,BAG.L,A.G. Barr,-1,-4,below chikou
2026-08-31,UEM.L,Utilico Emerging Markets,0,-4,below chikou
2026-08-31,PINT.L,Pantheon Infrastructure,0,-3,below chikou
2026-08-31,AGT.L,AVI Global Trust,0,-3,below chikou
2026-08-24,MNDI.L,Mondi,-1,-3,below chikou
2026-08-24,MAB.L,Mitchells & Butlers,-1,-2,below chikou
2026-08-31,JEGI.L,JPMorgan European Growth & Income,0,-2,below chikou
2026-08-31,JEDT.L,JPMorgan European Discovery,0,-2,below chikou
2026-08-31,BRSC.L,BlackRock Smaller Companies Trust,0,-2,below chikou
2026-08-24,RHIM.L,RHI Magnesita,-1,-2,below chikou
2026-08-24,MGAM.L,Morgan Advanced Materials,0,-2,below chikou
2026-08-24,TPK.L,Travis Perkins,-1,-2,below chikou
2026-08-24,HTG.L,Hunting,-1,-2,below chikou
2026-08-31,BHMG.L,BH Macro,-1,-1,below chikou
2026-08-24,INCH.L,Inchcape,-1,-1,below chikou
2026-08-24,FAN.L,Volution Group,-1,-1,below chikou
2026-08-24,SUPR.L,Supermarket Income REIT,-1,-1,below chikou
2026-08-24,CURY.L,Currys,-1,-1,below chikou
2026-08-31,PPET.L,Patria Private Equity Trust,1,1,above chikou
2026-08-31,HGT.L,Hg Capital Trust,1,1,above chikou
2026-08-31,ICGT.L,ICG Enterprise Trust,1,1,above chikou
2026-08-24,ATYM.L,Atalaya Mining,1,1,above chikou
2026-08-31,NBPE.L,NB Private Equity Partners,1,1,above chikou
2026-08-31,OCI.L,Oakley Capital Investments,1,1,above chikou
2026-08-24,ONT.L,Oxford Nanopore Technologies,1,2,above chikou
2026-08-24,PAGE.L,PageGroup,1,2,above chikou
2026-08-24,XPS.L,XPS Pensions,0,2,above chikou
2026-08-24,SVS.L,Savills,1,2,above chikou
2026-08-24,SHC.L,Shaftesbury Capital,0,3,above chikou
2026-08-24,OCDO.L,Ocado Group,0,3,above chikou
2026-08-24,BCG.L,Baltic Classifieds,1,3,above chikou
2026-08-24,RMV.L,Rightmove,1,3,above chikou
2026-08-24,ROSE.L,Rosebank Industries,1,4,above chikou
2026-08-24,NCC.L,NCC Group,1,4,above chikou
2026-08-24,KNOS.L,Kainos,1,4,above chikou
2026-08-24,RNK.L,Rank Group,1,4,above chikou
2026-08-24,QQ.L,Qinetiq,0,4,above chikou
2026-08-24,WPP.L,WPP,1,4,above chikou
2026-08-24,AVON.L,Avon Technologies,0,4,above chikou
2026-08-24,FOUR.L,4imprint,1,4,above chikou
2026-08-24,BOY.L,Bodycote,1,4,above chikou
2026-08-24,HWG.L,Harworth Group,0,4,above chikou
2026-08-24,DOCS.L,Dr. Martens,1,4,above chikou
2026-08-31,PNL.L,Personal Assets Trust,1,5,above chikou
2026-08-31,FGT.L,Finsbury Growth & Income Trust,1,5,above chikou
2026-08-24,GFTU.L,Grafton Group,1,5,above chikou
2026-08-24,GRG.L,Greggs,1,5,above chikou
2026-08-24,ELM.L,Elementis,0,5,above chikou
2026-08-31,BRWM.L,BlackRock World Mining Trust,1,5,above chikou
2026-08-31,FEV.L,Fidelity European Trust,1,5,above chikou
2026-08-24,SSPG.L,SSP Group,0,5,above chikou
2026-08-24,JDW.L,Wetherspoons,1,5,above chikou
2026-08-24,HIK.L,Hikma Pharmaceuticals,0,6,above chikou
2026-08-24,GAMA.L,Gamma Communications,1,6,above chikou
2026-08-24,MTO.L,Mitie,1,6,above chikou
2026-08-24,VCT.L,Victrex,1,6,above chikou
2026-08-31,AIE.L,Ashoka India Equity Investment Trust,1,6,above chikou
2026-08-24,TRN.L,Trainline,0,6,above chikou
2026-08-31,EDIN.L,Edinburgh Investment Trust,1,7,above chikou
2026-08-31,CLDN.L,Caledonia Investments,1,7,above chikou
2026-08-24,RS1.L,RS Group,1,7,above chikou
2026-08-24,HAS.L,Hays,1,7,above chikou
2026-08-24,ROR.L,Rotork,1,7,above chikou
2026-08-24,BPT.L,Bridgepoint Group,1,9,above chikou
2026-08-24,KIE.L,Kier Group,1,9,above chikou
2026-08-24,MONY.L,MONY Group,1,9,above chikou
2026-08-31,PCGH.L,Polar Capital Global Healthcare Trust,1,11,above chikou
2026-08-31,WWH.L,Worldwide Healthcare Trust,1,11,above chikou
2026-08-24,GPE.L,Great Portland Estates,0,12,above chikou
2026-08-24,FRAS.L,Frasers Group,1,12,above chikou
2026-08-24,FSG.L,Foresight Group,1,12,above chikou
2026-08-24,EZJ.L,EasyJet,1,12,above chikou
2026-08-24,SPI.L,Spire Healthcare,1,12,above chikou
2026-08-24,BME.L,B&M,1,13,above chikou
2026-08-24,IHP.L,IntegraFin Holdings,1,13,above chikou
2026-08-31,TRIG.L,The Renewables Infrastructure Group,1,14,above chikou
2026-08-24,BOWL.L,Hollywood Bowl Group,1,14,above chikou
2026-08-24,DLN.L,Derwent London,1,14,above chikou
2026-08-31,UKW.L,Greencoat UK Wind,1,14,above chikou
2026-08-24,HFG.L,Hilton Food Group,1,15,above chikou
2026-08-24,CHG.L,Chemring Group,1,15,above chikou
2026-08-24,BYIT.L,Bytes Technology Group,1,15,above chikou
2026-08-24,AJB.L,AJ Bell,1,15,above chikou
2026-08-24,SCT.L,Softcat,1,15,above chikou
2026-08-31,SYNC.L,Syncona,1,15,above chikou
2026-08-31,BRGE.L,BlackRock Greater Europe Investment Trust,1,15,above chikou
2026-08-31,NAS.L,North Atlantic Smaller Companies Investment Trust,1,16,above chikou
2026-08-24,TATE.L,Tate & Lyle,1,16,above chikou
2026-08-24,GFRD.L,Galliford Try,1,17,above chikou
2026-08-24,MOON.L,Moonpig,1,17,above chikou
2026-08-24,JSG.L,Johnson Service Group,0,17,above chikou
2026-08-24,HFD.L,Halfords,1,17,above chikou
2026-08-31,BGFD.L,Baillie Gifford Japan Trust,1,18,above chikou
2026-08-24,DSCV.L,discoverIE,1,20,above chikou
2026-08-24,DOM.L,Domino's Pizza,1,20,above chikou
2026-08-24,IPO.L,IP Group,1,20,above chikou
2026-08-31,SAIN.L,Scottish American Investment Company,1,21,above chikou
2026-08-24,PFD.L,Premier Foods,0,21,above chikou
2026-08-31,MNKS.L,Monks Investment Trust,1,21,above chikou
2026-08-24,MTRO.L,Metro Bank,1,21,above chikou
2026-08-24,PTEC.L,Playtech,1,21,above chikou
2026-08-24,TCAP.L,TP ICAP,1,21,above chikou
2026-08-24,TRST.L,Trustpilot,1,21,above chikou
2026-08-31,BUT.L,Brunner Investment Trust,1,21,above chikou
