Symbol,Name,1H Chikou Direction,1H Chikou Count,1H Chikou State,1D Chikou Direction,1D Chikou Count,1D Chikou State,1W Chikou Direction,1W Chikou Count,1W Chikou State,1M Chikou Direction,1M Chikou Count,1M Chikou State,Chikou Score Sum
CHTR,Charter Communications,-1,-3,below chikou,0,30,above chikou,-1,-60,below chikou,-1,-15,below chikou,-48
CMCSA,Comcast,-1,-21,below chikou,1,30,above chikou,-1,-15,below chikou,-1,-18,below chikou,-24
DIS,Walt Disney Company (The),-1,-18,below chikou,1,24,above chikou,1,4,above chikou,1,2,above chikou,12
FOX,Fox Corporation (Class B),-1,-51,below chikou,1,31,above chikou,1,5,above chikou,1,27,above chikou,12
FOXA,Fox Corporation (Class A),-1,-56,below chikou,1,32,above chikou,1,5,above chikou,1,27,above chikou,8
GOOG,Alphabet Inc. (Class C),1,15,above chikou,-1,-1,below chikou,1,7,above chikou,1,31,above chikou,52
GOOGL,Alphabet Inc. (Class A),0,6,above chikou,-1,-1,below chikou,1,57,above chikou,1,31,above chikou,93
LYV,Live Nation Entertainment,-1,-54,below chikou,-1,-5,below chikou,1,23,above chikou,1,25,above chikou,-11
META,Meta Platforms,1,33,above chikou,1,3,above chikou,0,-8,below chikou,1,34,above chikou,62
NFLX,Netflix,-1,-14,below chikou,1,18,above chikou,-1,-2,below chikou,1,30,above chikou,32
NWS,News Corp (Class B),-1,-14,below chikou,1,47,above chikou,1,11,above chikou,1,34,above chikou,78
NWSA,News Corp (Class A),-1,-14,below chikou,1,47,above chikou,1,11,above chikou,1,34,above chikou,78
OMC,Omnicom Group,-1,-34,below chikou,1,3,above chikou,0,10,above chikou,-1,-1,below chikou,-22
T,AT&T,-1,-14,below chikou,1,32,above chikou,-1,-6,below chikou,1,33,above chikou,45
TMUS,T-Mobile US,-1,-8,below chikou,1,7,above chikou,-1,-56,below chikou,1,35,above chikou,-22
TTWO,Take-Two Interactive,-1,-42,below chikou,-1,-6,below chikou,0,6,above chikou,1,27,above chikou,-15
VZ,Verizon,-1,-6,below chikou,1,31,above chikou,1,33,above chikou,1,24,above chikou,82
WBD,Warner Bros. Discovery,-1,-46,below chikou,1,21,above chikou,1,1,above chikou,1,13,above chikou,-11
