Symbol,Name,1H Chikou Direction,1H Chikou Count,1H Chikou State,1D Chikou Direction,1D Chikou Count,1D Chikou State,1W Chikou Direction,1W Chikou Count,1W Chikou State,1M Chikou Direction,1M Chikou Count,1M Chikou State,Chikou Score Sum
COO,Cooper Companies (The),-1,-55,below chikou,-1,-3,below chikou,-1,-20,below chikou,-1,-17,below chikou,-95
GEHC,GE HealthCare,-1,-50,below chikou,1,27,above chikou,-1,-20,below chikou,-1,-6,below chikou,-49
LLY,Lilly (Eli),-1,-50,below chikou,-1,-3,below chikou,1,49,above chikou,1,102,above chikou,98
ABT,Abbott Laboratories,-1,-36,below chikou,1,35,above chikou,0,3,above chikou,1,3,above chikou,5
HCA,HCA Healthcare,-1,-35,below chikou,0,12,above chikou,-1,-19,below chikou,1,34,above chikou,-8
UHS,Universal Health Services,-1,-35,below chikou,1,42,above chikou,-1,-24,below chikou,-1,-5,below chikou,-22
LH,Labcorp,-1,-29,below chikou,1,62,above chikou,1,13,above chikou,1,26,above chikou,72
CRL,Charles River Laboratories,0,-28,below chikou,1,66,above chikou,1,11,above chikou,1,2,above chikou,51
MTD,Mettler Toledo,-1,-26,below chikou,0,53,above chikou,1,5,above chikou,0,-5,below chikou,27
TMO,Thermo Fisher Scientific,-1,-26,below chikou,1,66,above chikou,1,5,above chikou,0,2,above chikou,47
DGX,Quest Diagnostics,-1,-25,below chikou,1,62,above chikou,1,34,above chikou,1,30,above chikou,101
DHR,Danaher Corporation,-1,-21,below chikou,1,63,above chikou,1,3,above chikou,-1,-8,below chikou,37
A,Agilent Technologies,-1,-21,below chikou,1,32,above chikou,1,6,above chikou,1,2,above chikou,19
SYK,Stryker Corporation,-1,-21,below chikou,-1,-3,below chikou,-1,-45,below chikou,-1,-6,below chikou,-75
WAT,Waters Corporation,-1,-20,below chikou,1,32,above chikou,1,5,above chikou,1,26,above chikou,43
TECH,Bio-Techne,-1,-20,below chikou,1,56,above chikou,1,11,above chikou,0,4,above chikou,51
RMD,ResMed|,-1,-13,below chikou,1,43,above chikou,-1,-38,below chikou,1,27,above chikou,19
IDXX,Idexx Laboratories,-1,-4,below chikou,-1,-2,below chikou,-1,-27,below chikou,1,17,above chikou,-16
DVA,DaVita,-1,-2,below chikou,-1,-21,below chikou,1,30,above chikou,1,32,above chikou,39
STE,Steris,-1,-1,below chikou,0,35,above chikou,0,-27,below chikou,0,2,above chikou,9
DXCM,Dexcom,-1,-1,below chikou,1,27,above chikou,1,17,above chikou,0,-25,below chikou,18
BDX,Becton Dickinson,-1,-1,below chikou,1,50,above chikou,1,11,above chikou,1,2,above chikou,62
BAX,Baxter International,-1,-1,below chikou,1,97,above chikou,1,16,above chikou,-1,-55,below chikou,57
WST,West Pharmaceutical Services,1,1,above chikou,1,2,above chikou,1,21,above chikou,1,2,above chikou,26
IQV,IQVIA,1,3,above chikou,1,50,above chikou,1,5,above chikou,1,2,above chikou,60
AMGN,Amgen,1,3,above chikou,1,63,above chikou,1,47,above chikou,1,178,above chikou,291
INCY,Incyte,1,3,above chikou,0,52,above chikou,1,13,above chikou,1,14,above chikou,82
MRK,Merck & Co.,1,3,above chikou,1,71,above chikou,1,49,above chikou,1,4,above chikou,127
BMY,Bristol Myers Squibb,1,4,above chikou,1,42,above chikou,1,41,above chikou,1,10,above chikou,97
VTRS,Viatris,1,5,above chikou,-1,-17,below chikou,1,53,above chikou,1,14,above chikou,55
HSIC,Henry Schein,0,6,above chikou,1,62,above chikou,1,44,above chikou,1,10,above chikou,122
ALGN,Align Technology,1,6,above chikou,-1,-13,below chikou,-1,-3,below chikou,-1,-49,below chikou,-59
ZBH,Zimmer Biomet,0,6,above chikou,1,44,above chikou,1,7,above chikou,-1,-28,below chikou,29
BIIB,Biogen,1,6,above chikou,1,15,above chikou,1,49,above chikou,0,-25,below chikou,45
RVTY,Revvity,1,7,above chikou,1,21,above chikou,1,11,above chikou,1,4,above chikou,43
SOLV,Solventum,1,7,above chikou,1,29,above chikou,1,6,above chikou,1,4,above chikou,46
ISRG,Intuitive Surgical,0,7,above chikou,0,8,above chikou,-1,-19,below chikou,-1,-3,below chikou,-7
UNH,UnitedHealth Group,1,7,above chikou,-1,-22,below chikou,1,18,above chikou,-1,-18,below chikou,-15
CNC,Centene Corporation,1,7,above chikou,1,2,above chikou,1,35,above chikou,0,-30,below chikou,14
ABBV,AbbVie,1,8,above chikou,0,-3,below chikou,1,12,above chikou,1,76,above chikou,93
EW,Edwards Lifesciences,1,8,above chikou,1,11,above chikou,1,6,above chikou,0,12,above chikou,37
BSX,Boston Scientific,1,9,above chikou,1,27,above chikou,-1,-45,below chikou,-1,-6,below chikou,-15
CI,Cigna,1,9,above chikou,-1,-18,below chikou,0,18,above chikou,-1,-12,below chikou,-3
VRTX,Vertex Pharmaceuticals,1,9,above chikou,1,14,above chikou,1,31,above chikou,1,111,above chikou,165
ZTS,Zoetis,0,9,above chikou,-1,-1,below chikou,-1,-90,below chikou,-1,-16,below chikou,-98
GILD,Gilead Sciences,1,9,above chikou,1,42,above chikou,1,1,above chikou,1,48,above chikou,100
JNJ,Johnson & Johnson,1,9,above chikou,1,13,above chikou,1,67,above chikou,1,17,above chikou,106
ELV,Elevance Health,1,9,above chikou,1,10,above chikou,1,19,above chikou,-1,-24,below chikou,14
REGN,Regeneron Pharmaceuticals,1,10,above chikou,1,44,above chikou,1,3,above chikou,-1,-21,below chikou,36
MDT,Medtronic,1,12,above chikou,1,62,above chikou,0,-26,below chikou,1,3,above chikou,51
MRNA,Moderna,1,12,above chikou,1,11,above chikou,1,39,above chikou,1,1,above chikou,63
COR,Cencora,1,13,above chikou,1,57,above chikou,-1,-20,below chikou,1,83,above chikou,133
MCK,McKesson Corporation,1,14,above chikou,1,44,above chikou,0,-4,below chikou,1,77,above chikou,131
HUM,Humana,1,14,above chikou,1,2,above chikou,1,17,above chikou,1,4,above chikou,37
CAH,Cardinal Health,1,14,above chikou,1,11,above chikou,1,13,above chikou,1,71,above chikou,109
PFE,Pfizer,1,16,above chikou,1,27,above chikou,1,49,above chikou,1,8,above chikou,100
CVS,CVS Health,1,20,above chikou,-1,-21,below chikou,1,18,above chikou,1,14,above chikou,31
PODD,Insulet Corporation,1,22,above chikou,-1,-21,below chikou,-1,-40,below chikou,-1,-5,below chikou,-44
