symbol,name
3IN.L,3i Infrastructure
FOUR.L,4imprint
ABDN.L,Abrdn
APEO.L,abrdn Private Equity Opportunities Trust
ALFA.L,Alfa Financial Software
ATST.L,Alliance Trust
ATT.L,Allianz Technology Trust
ALPH.L,Alpha Group International
AO.L,AO World
APAX.L,Apax Global Alpha
ASCL.L,Ascential
ASHM.L,Ashmore Group
DGN.L,Asia Dragon Trust
AGR.L,Assura
AML.L,Aston Martin Lagonda
ATG.L,Auction Technology Group
AGT.L,AVI Global Trust
BAB.L,Babcock International
BGFD.L,Baillie Gifford Japan Trust
USA.L,Baillie Gifford US Growth Trust
BAKK.L,Bakkavör
BCPT.L,Balanced Commercial Property Trust
BBY.L,Balfour Beatty
BCG.L,Baltic Classifieds
BNKR.L,Bankers Investment Trust
BGEO.L,Bank of Georgia
BAG.L,A.G. Barr
BBGI.L,BBGI
AJB.L,AJ Bell
BBH.L,Bellevue Healthcare Trust
BWY.L,Bellway
BHMG.L,BH Macro
BYG.L,Big Yellow Group
BRGE.L,BlackRock Greater Europe Investment Trust
BRSC.L,BlackRock Smaller Companies Trust
THRG.L,BlackRock Throgmorton Trust
BRWM.L,BlackRock World Mining Trust
BSIF.L,Bluefield Solar Income Fund
BOY.L,Bodycote
BREE.L,Breedon Group
BPT.L,Bridgepoint Group
BLND.L,British Land
BVIC.L,Britvic
BUT.L,Brunner Investment Trust
BYIT.L,Bytes Technology Group
CCR.L,C&C Group
CLDN.L,Caledonia Investments
CGT.L,Capital Gearing Trust
CCL.L,Carnival Corporation & plc
CEY.L,Centamin
CHG.L,Chemring Group
CTY.L,City of London Investment Trust
CKN.L,Clarkson
CBG.L,Close Brothers Group
CMCX.L,CMC Markets
COA.L,Coats Group
CCC.L,Computacenter
CWK.L,Cranswick
CRST.L,Crest Nicholson
CURY.L,Currys
DLN.L,Derwent London
DLG.L,Direct Line
DSCV.L,discoverIE
DEC.L,Diversified Energy
DOM.L,Domino's Pizza
DWL.L,Dowlais Group
DRX.L,Drax Group
DOCS.L,Dr. Martens
DNLM.L,Dunelm Group
EDIN.L,Edinburgh Investment Trust
EWI.L,Edinburgh Worldwide Investment Trust
ELM.L,Elementis
ESP.L,Empiric Student Property
ENOG.L,Energean
ESNT.L,Essentra
EOT.L,European Opportunities Trust
ESCT.L,European Smaller Companies Trust
FCSS.L,Fidelity China Special Situations
FEML.L,Fidelity Emerging Markets
FEV.L,Fidelity European Trust
FSV.L,Fidelity Special Values
FGT.L,Finsbury Growth & Income Trust
FGP.L,FirstGroup
FSG.L,Foresight Group
